zero,Coffeemaker,Blender,Microwave,Toaster,Washing,Iron,Dishwasher,Electricboiler,Dryer,TV,Computer,Heater,AC
0,20,8,10,18,9,87,23,15,8,54,83,63,24
0,5,13,32,16,35,57,23,37,19,27,5,12,43
0,5,30,23,7,8,13,25,15,46,41,39,19,10
,12,17,43,2,42,2,7,41,8,49,81,27,75
,4,7,11,13,9,112,8,27,27,33,63,6,2
,8,1,45,13,37,95,6,17,26,16,26,26,19
,9,29,45,8,34,136,14,23,33,39,15,56,39
,8,2,11,19,6,39,7,13,18,54,34,24,16
,2,29,39,7,24,146,14,50,29,60,58,8,37
,11,26,46,6,25,46,24,3,24,75,18,45,9
,9,24,37,11,23,66,3,21,3,22,69,33,41
,23,22,34,14,17,140,6,38,30,81,68,85,5
,1,27,40,15,15,87,17,39,16,5,78,56,64
,4,11,40,8,3,15,4,7,21,37,80,6,62
,21,15,10,17,26,88,13,30,51,58,79,27,20
,13,13,4,16,9,38,3,19,8,85,76,42,54
,17,23,17,2,4,113,20,1,61,76,82,67,1
,9,28,44,7,10,30,14,39,14,15,5,51,40
,15,28,25,13,2,101,24,28,28,45,53,16,72
,3,16,47,13,19,120,12,9,17,50,76,13,74
,9,19,32,17,1,102,17,36,16,22,73,31,57
,17,24,46,12,7,41,2,18,34,58,76,1,81
,22,26,45,17,6,131,11,9,16,65,66,34,71
,9,21,22,19,33,64,21,13,13,62,15,6,12
,17,10,7,15,8,30,5,6,31,29,31,66,25
,16,27,49,2,29,42,13,50,71,80,13,76,45
,24,8,2,11,50,120,2,46,8,10,12,71,84
,20,21,14,3,28,127,10,28,56,71,69,36,49
,3,20,42,12,23,105,17,22,58,11,9,28,6
,1,27,28,18,4,42,12,42,34,58,26,57,26
,5,30,42,8,19,40,17,15,48,75,7,50,26
,17,2,32,13,50,111,14,13,52,69,65,39,45
,2,13,48,6,21,142,10,15,43,36,19,19,71
,19,8,6,1,51,138,4,14,43,82,50,65,7
,6,1,32,3,4,92,21,32,67,23,2,74,70
,7,23,17,19,51,111,12,29,63,42,83,73,71
,15,20,12,9,21,135,9,12,28,36,55,59,4
,11,2,13,6,57,115,20,29,43,26,28,48,9
,21,9,20,12,56,22,10,37,36,22,45,40,44
,9,29,25,2,55,124,10,29,45,77,74,49,43
,25,19,27,5,30,40,5,50,7,71,37,7,46
,20,3,24,7,56,20,25,11,34,32,9,35,41
,24,12,11,19,43,86,3,1,10,6,7,36,34
,21,24,46,18,50,117,8,28,60,57,14,13,79
,4,16,12,10,25,76,18,18,9,49,33,57,36
,21,10,5,19,24,103,14,29,14,59,84,73,27
,7,10,39,19,60,33,14,6,15,19,12,18,6
,21,4,12,12,4,68,9,30,67,36,1,8,13
,7,22,20,19,8,46,12,45,34,79,38,55,36
,22,20,17,3,55,108,16,1,39,13,13,56,55
,7,20,26,3,5,79,22,48,5,74,66,27,3
,10,23,8,13,48,46,20,26,62,53,42,68,63
,8,24,46,16,33,115,22,1,54,77,42,73,16
,4,8,45,7,1,72,21,13,50,76,23,50,41
,5,2,11,9,47,61,25,14,42,23,85,12,2
,22,20,13,18,43,100,16,29,21,13,10,26,11
,3,15,23,10,58,68,11,25,43,30,59,16,24
,12,18,47,6,16,50,7,36,26,8,19,32,4
,15,14,28,11,39,130,5,16,15,80,1,57,36
,5,16,16,19,1,55,22,2,20,80,33,27,39
,21,18,29,1,6,52,23,25,41,47,84,77,42
,3,21,20,1,10,149,13,40,57,24,52,74,3
,13,13,10,5,15,108,14,10,8,65,36,49,58
,21,29,31,11,48,10,16,40,54,46,12,25,49
,14,14,11,13,44,121,5,42,68,44,80,70,45
,10,17,7,19,40,68,6,13,1,55,19,57,21
,15,25,15,19,11,45,3,10,34,56,54,70,64
,13,13,10,13,41,86,4,25,2,19,8,60,45
,18,25,43,9,13,50,18,12,45,7,15,20,15
,9,18,2,4,51,38,13,31,23,80,2,37,52
,20,21,27,14,41,139,20,30,36,84,22,33,70
,14,29,42,6,42,66,12,22,45,13,77,77,69
,15,7,10,17,44,17,2,37,3,36,29,84,77
,19,21,25,14,20,143,20,22,4,62,72,2,81
,16,25,45,18,37,31,16,24,70,20,73,76,43
,8,21,17,1,1,136,18,40,41,29,16,40,37
,24,26,49,10,60,98,8,11,66,25,41,16,23
,25,12,31,19,5,65,7,10,57,57,28,55,32
,16,29,13,18,47,148,7,24,32,61,75,83,4
,17,12,44,15,58,28,16,13,23,68,72,16,82
,17,30,40,16,58,106,21,13,50,62,37,64,66
,8,23,1,13,18,95,25,32,65,79,26,70,31
,19,18,22,6,36,86,7,3,41,23,67,32,60
,15,29,27,5,46,8,23,3,28,85,56,58,16
,4,21,4,5,1,80,1,44,64,33,71,64,47
,20,13,23,15,34,113,18,35,59,14,61,7,14
,23,6,23,3,25,42,16,38,75,65,80,63,40
,20,9,6,9,59,76,25,44,62,47,45,32,43
,22,27,25,9,47,48,18,24,4,66,84,3,83
,3,6,40,19,16,35,19,39,29,53,43,57,26
,4,16,36,10,9,80,6,30,2,22,15,10,28
,22,8,16,20,42,107,13,13,29,11,14,78,33
,25,8,39,19,17,42,24,47,75,63,69,51,42
,9,27,28,6,13,105,23,35,58,53,20,15,31
,24,21,21,12,41,107,24,28,37,69,62,56,20
,3,15,22,11,5,52,10,7,21,21,63,36,40
,19,6,15,2,56,122,6,44,67,59,59,9,7
,11,19,19,17,24,94,13,44,70,38,35,73,71
,2,7,1,11,18,135,3,14,65,28,66,78,63
,2,21,10,7,40,111,24,36,36,15,4,52,74
,20,16,37,3,3,19,25,1,6,53,25,7,79
,11,23,36,1,34,134,12,18,16,20,18,50,26
,10,4,9,17,39,78,25,27,24,53,67,14,16
,2,5,13,14,39,113,10,8,70,16,78,36,45
,6,19,23,8,2,68,9,21,60,29,78,72,61
,25,14,6,7,19,10,23,46,49,34,12,32,67
,3,18,24,1,58,78,6,50,71,57,15,33,57
,13,7,23,13,44,60,18,40,49,14,83,74,80
,4,26,34,1,10,102,5,47,30,12,61,80,48
,25,3,40,14,53,64,5,23,48,83,68,34,18
,7,7,7,16,42,78,17,7,37,81,44,45,31
,14,11,41,18,46,81,21,46,3,25,77,42,17
,9,1,7,13,18,87,3,12,11,10,11,31,10
,13,5,19,4,52,4,5,4,63,35,85,26,4
,11,15,3,20,50,63,7,10,13,14,54,84,85
,6,22,36,15,22,42,25,9,7,31,52,79,70
,23,20,23,13,58,63,17,32,14,55,52,17,40
,6,5,1,19,36,96,21,2,20,66,33,29,45
,18,26,36,11,47,119,1,39,46,42,30,54,34
,21,1,27,2,44,102,14,10,4,55,74,50,84
,13,26,26,7,56,55,22,40,43,20,21,24,21
,20,6,16,16,21,88,16,16,13,52,31,26,9
,3,2,31,17,36,93,18,28,54,57,51,2,76
,21,24,44,11,5,145,8,47,44,35,77,44,71
,11,16,41,9,45,70,6,12,70,14,13,24,41
,25,14,2,5,12,43,18,25,17,49,52,22,26
