AreaCode,Estimated Energy Use (kWh),Estimated Cost of Energy,Total Floor Area
268139005,827200,92457,3706
268139006,707019,81314,3595
268139007_268139008,841261,97218,4442
268139004,1052962,118833,5608
268106003,1424658,160121,7055
268106004,1118995,127572,6524
268106005,1761219,200661,10580
268106002,807411,84206,3457
268106007,1003666,106753,4526
268106006,1199190,134045,6029
268106008,629046,70560,2564
268139001_268139013,628984,66102,2190
268139003,2491229,281281,14780
268139009,987116,107729,5487
268106009,1372539,165272,7846
268106011,1444743,172838,8280
268106001,905430,103261,4085
268139010,774270,82138,4258
268139002,753175,80264,2635
268138011,1776928,177996,5958
268138018,953629,96529,3404
268138019,977009,97160,3431
268138005,1749717,201013,11758
268139011,1213263,139759,5476
268139012,2973344,352414,22102
268106010,2084863,245479,15984
268138008,860582,88547,3294
268138009,1295122,143495,4112
268138010,920447,105104,3074
268106012,673280,78331,3487
268106014,1159011,139141,6446
268106013,603420,70520,3202
268106015,578830,64534,2799
268138015,1098040,115923,3731
268138013,907927,93025,3347
268138014,1044165,114331,4451
268138016,520043,60070,2594
268105016,473023,45363,1622
268105015,644193,62110,1690
268105014,420918,45861,2917
268138012,1519874,173169,10364
268138007,1463552,149155,5084
268138006,1155694,124955,4447
268138002,1432844,164584,8613
268138001,1212559,143089,7953
268138003,1809798,212397,11650
268106017,764599,88123,3576
268106016,797291,84335,3349
268106019,1796254,183492,10577
268105004,927920,104559,3156
268105003,1053389,123075,3316
268105002,958202,104248,3678
268138017,1121669,121048,5255
268138004,646866,73810,3454
268106018,899945,106754,4879
268105009,1479071,174209,10576
268105011,973281,104041,3803
268104015,1104678,110473,8118
268105010,1462161,161592,6152
268105012,788694,93680,3961
268105013,1304354,117749,6256
268104004_268104005,2907190,325874,18027
268104017,920749,108064,5437
268104006,1850491,217395,13393
268105005,1384863,153787,7335
268105006,1665590,150582,5219
268104007,938035,92271,3300
268104014,3062790,357610,22207
268104008,1487539,170168,10066
268104016,1723883,164598,10098
268104010,2341418,213410,10660
268105007,1085203,114885,3982
268105008,952346,87576,2519
268105001,2083414,184519,6919
268104001,782224,89594,4315
268104013,1723816,203556,12491
