zero,midnight,day
0,136,1243
0,172,527
0,210,2651
0,150,2608
0,115,606
0,194,1432
0,151,1799
0,192,829
0,188,2286
0,172,2267
0,171,2337
0,214,1482
0,117,943
0,183,1123
0,131,1935
0,209,1871
,138,2555
,138,814
,118,2362
,146,2708
,205,581
,215,1646
,140,1963
,113,642
,199,1187
,118,2982
,116,2292
,205,1943
,156,500
,183,1956
,218,1414
,187,2228
,136,692
,136,725
,159,507
,150,1987
,193,1115
,141,2586
,179,1976
,185,1034
,135,1037
,155,745
,139,626
,209,2685
,173,1165
,131,2189
,172,1353
,168,2004
,138,2960
,174,601
,158,1480
,120,1000
,156,834
,172,2290
,198,680
,162,2110
,146,828
,170,1765
,110,1722
,142,2711
,192,644
,147,1471
,180,2769
,110,560
,200,1417
,196,992
,172,2389
,122,1484
,159,2008
,151,2219
,135,2216
,199,777
,138,564
,156,2209
,208,1572
,110,931
,180,560
,118,1982
,197,1006
,215,1678
,181,1436
,201,1973
,150,2188
,175,1982
,137,802
,144,641
,219,1407
,119,899
,118,2096
,129,940
,154,2511
,141,2770
,156,2305
,191,525
,210,1458
,128,914
,191,1782
,121,2519
,164,2869
,131,946
,198,2333
,189,2966
,173,1374
,142,1027
,117,1967
,132,2072
,191,1806
,172,1262
,120,695
,142,1391
,134,2586
,153,1415
,113,2402
,187,2094
,201,2458
,170,1942
,194,566
,148,716
,165,2105
,154,2508
,200,1401
,206,1495
,162,897
,150,1638
,219,571
,176,2823
,191,2583
,158,1135
,188,2810
,203,2963
,143,1490
,157,1920
,203,768
,173,839
,135,1747
,210,2047
,191,666
,116,2892
,167,2028
,144,915
,133,2694
,134,2985
,127,1212
,189,1557
,161,1227
,111,1443
,112,2121
,180,1200
,152,1953
,117,2608
,220,1614
,216,2204
,141,2100
,113,514
,173,1202
,193,1376
,137,2475
,124,1438
,170,2413
,218,2190
,118,1362
,184,2248
,149,1637
,219,510
,203,2493
,169,1259
,207,2054
,160,682
,212,512
,212,744
,129,2455
,176,1379
,168,841
,119,2313
,138,1730
,138,2551
,176,1162
,112,2949
,197,1075
,147,2788
,122,2128
,137,820
,198,2826
,202,2888
,118,2766
,127,583
,208,632
,204,928
,199,1669
,152,1687
,155,2565
,125,1297
,110,2529
,176,530
,163,1593
,181,1304
,133,2365
,140,2466
,162,2788
,219,610
,134,642
,122,1498
,186,1798
,134,2593
,211,2219
,118,2807
,209,1528
,145,1756
,116,2316
,163,991
,112,1462
,177,2798
,135,575
,206,2528
,147,1253
,208,1903
,148,890
,112,2002
,163,1186
,189,2995
,124,1254
,168,739
,189,1468
,128,1591
,178,2517
,172,1340
,190,1372
,219,1192
,199,2868
,207,2776
,162,1928
,204,2850
,163,2900
,192,1083
,174,2279
,136,2748
,163,855
,193,814
,132,919
,200,2065
,149,1280
,207,1305
,164,2748
,218,1443
,133,2743
,187,1060
,119,2718
,179,606
,136,1316
,138,694
,167,1222
,153,749
,126,1141
,205,2562
,195,2652
,158,1566
,130,2052
,130,864
,181,981
,160,2682
,110,534
,167,2432
,120,1469
,167,2818
,176,2435
,204,2426
,194,651
,122,768
,218,2161
,162,2100
,217,1218
,110,1594
,174,2599
,175,2227
,187,1630
,137,1332
,193,1825
,130,1139
,163,2626
,199,1454
,180,1808
,142,574
,185,1371
,146,925
,123,1911
,199,2701
,209,2565
,156,732
,163,2748
,219,2947
,146,1749
,195,2263
,115,2267
,138,1621
,110,2215
,123,1039
,142,583
,137,2693
,163,2398
,128,2910
,193,1105
,202,2229
,122,2064
,120,2601
,116,742
,198,2120
,209,2028
,112,718
,148,2580
,116,745
,186,2980
,181,3000
,178,2729
,163,829
,213,2707
,174,2725
,186,2059
,141,2166
,145,2232
,196,2348
,177,2788
,114,1403
,177,2209
,174,652
,190,2102
,211,2439
,200,2484
,161,2294
,219,994
,216,2461
,120,1281
,193,767
,112,1996
,167,947
,132,1447
,152,2794
,171,2723
,204,940
,118,1846
,146,2508
,190,1803
,174,2040
,132,2532
,183,1750
,193,1055
,134,1282
,150,2426
,201,1335
,147,2259
,195,2370
,217,2609
,216,948
,165,1712
,201,1321
,137,1164
,140,2471
,113,1361
,138,2373
,179,891
,130,1379
,125,1262
,190,2348
,191,2535
,147,2062
,131,1067
,110,1635
,119,1460
,152,1436
,190,2220
,145,2303
,142,915
,212,2014
,156,637
,129,1784
,185,2982
,182,1213
,113,2533
,112,2975
,142,829
,216,1595
,209,817
,202,2820
,157,1519
