Year,Electricity production from oil gas and coal sources
1/1/1960,58.79752431
1/1/1961,69.91439054
1/1/1962,75.72744015
1/1/1963,77.49140893
1/1/1964,76.82530299
1/1/1965,74.50555405
1/1/1966,78.72659176
1/1/1967,81.753663
1/1/1968,84.14558914
1/1/1969,88.92687559
1/1/1970,86.15092385
1/1/1971,92.60786802
1/1/1972,90.10015967
1/1/1973,91.2357104
1/1/1974,89.69990827
1/1/1975,93.07272969
1/1/1976,92.85026481
1/1/1977,91.69715109
1/1/1978,92.76383993
1/1/1979,92.23684211
1/1/1980,92.06890025
1/1/1981,91.81308766
1/1/1982,92.38366572
1/1/1983,92.72997033
1/1/1984,93.87682449
1/1/1985,92.90520399
1/1/1986,92.53270496
1/1/1987,94.60764906
1/1/1988,93.23768903
1/1/1989,94.88695138
1/1/1990,79.32391595
1/1/1991,80.6229069
1/1/1992,80.97591888
1/1/1993,83.55935352
1/1/1994,83.0520561
1/1/1995,84.40127244
1/1/1996,84.40803383
1/1/1997,85.43349078
1/1/1998,86.28221094
1/1/1999,87.10774179
1/1/2000,87.51742491
1/1/2001,86.92757389
1/1/2002,86.05643441
1/1/2003,87.26519448
1/1/2004,88.57426135
1/1/2005,83.13041442
1/1/2006,82.98790382
1/1/2007,82.16684023
1/1/2008,78.82171994
1/1/2009,75.90314042
1/1/2010,79.03534923
1/1/2011,72.19481667
1/1/2012,71.46752146
1/1/2013,68.82111437
1/1/2014,65.29370738
1/1/2015,62.80650557
