zero,AreaSize,Consumption
0,465,1535
0,331,2446
0,389,2817
0,249,3102
0,195,1705
0,139,1162
0,137,1486
0,450,1327
0,439,2988
0,362,1691
0,392,2100
0,333,2348
0,421,2789
0,391,1505
0,143,1510
,490,2238
,284,2196
,125,1449
,193,1973
,415,1554
,430,1157
,433,2741
,469,3268
,471,2091
,142,1219
,182,3284
,134,3210
,419,3004
,205,3225
,485,1848
,344,1474
,452,3002
,220,1788
,358,3207
,491,1250
,163,1737
,440,3127
,431,1117
,181,3385
,224,3105
,487,1765
,391,2075
,156,1377
,346,1893
,141,1442
,290,2428
,200,3316
,376,2032
,458,2929
,219,2057
,353,1675
,335,1720
,439,2171
,145,1930
,488,2366
,432,2455
,468,3455
,120,1173
,397,3184
,492,2417
,297,2269
,172,1959
,122,2129
,481,3452
,383,3426
,275,2210
,198,1144
,296,1691
,359,3019
,282,1510
,417,1827
,165,2884
,133,3220
,295,1176
,205,2585
,294,3066
,436,1855
,375,2233
,171,3293
,488,1833
,481,2683
,374,3262
,255,2231
,441,3362
,344,1952
,259,2938
,419,2227
,419,2789
,415,2295
,328,1506
,213,1289
,250,3305
,321,3175
,425,2821
,371,2805
,243,1795
,474,2276
,225,3389
,172,2330
,240,2247
,148,1705
,295,1927
,198,3229
,341,1884
,386,1426
,151,1129
,233,3279
,226,3102
,414,2508
,385,1857
,401,2791
,267,1135
,169,3027
,376,2315
,434,1764
,335,2399
,199,1957
,230,2341
,468,2218
,157,1265
,306,1347
,500,2825
,402,2255
,126,3062
,486,3339
,147,2632
,474,2070
,212,2240
,177,1133
,339,2495
,290,3301
,498,2410
,486,2959
,450,3303
,452,2179
,245,2103
,425,2092
,347,2826
,349,2587
,230,1855
,346,1125
,235,2606
,314,1508
,186,2631
,410,2912
,202,2243
,208,1691
,178,2210
,214,3235
,208,1853
,402,2105
,214,2243
,191,1108
,247,1521
,390,2926
,225,2943
,246,2380
,459,1591
,358,1765
,228,1866
,242,1738
,267,2471
,222,1164
,122,1720
,328,1759
,495,3479
,302,1303
,333,2443
,479,2824
,347,3369
,197,3465
,241,1273
,406,1876
,425,3023
,419,1143
,150,3248
,333,3406
,294,2896
,305,3045
,477,1907
,152,2394
,456,1674
,299,1917
,470,3161
